Date,Open,High,Low,Close
9/17/2018,108650,108670,108630,108650
9/17/2018,108650,108670,108640,108660
9/17/2018,108670,108680,108660,108670
9/17/2018,108660,108660,108640,108650
9/17/2018,108660,108680,108640,108650
9/17/2018,108680,108680,108620,108640
9/17/2018,108630,108690,108520,108630
9/17/2018,108590,108600,108590,108600
9/17/2018,108570,108600,108560,108570
9/17/2018,108580,108590,108570,108570
9/17/2018,108580,108580,108560,108570
9/17/2018,108570,108590,108570,108590
9/17/2018,108590,108590,108570,108570
9/17/2018,108580,108580,108570,108570
9/17/2018,108580,108580,108570,108570
9/17/2018,108580,108590,108580,108580
9/17/2018,108580,108580,108540,108570
9/17/2018,108580,108580,108580,108580
9/17/2018,108570,108590,108570,108590
9/17/2018,108580,108590,108580,108590
9/17/2018,108590,108590,108580,108590
9/17/2018,108580,108580,108560,108560
9/17/2018,108570,108570,108570,108570
9/17/2018,108590,108590,108580,108580
9/17/2018,108580,108580,108550,108550
9/17/2018,108580,108600,108580,108600
9/17/2018,108590,108590,108540,108560
9/17/2018,108550,108550,108550,108550
9/17/2018,108560,108560,108560,108560
9/17/2018,108550,108560,108510,108510
9/17/2018,108510,108530,108500,108530
9/17/2018,108510,108510,108470,108480
9/17/2018,108470,108470,108410,108420
9/17/2018,108410,108410,108370,108390
9/17/2018,108400,108430,108400,108430
9/17/2018,108420,108420,108390,108390
9/17/2018,108420,108450,108420,108450
9/17/2018,108460,108470,108460,108470
9/17/2018,108470,108480,108460,108480
9/17/2018,108490,108490,108470,108470
9/17/2018,108480,108490,108480,108490
9/17/2018,108480,108520,108480,108520
9/17/2018,108520,108520,108500,108500
9/17/2018,108520,108530,108520,108530
9/17/2018,108530,108540,108520,108520
9/17/2018,108520,108530,108520,108530
9/17/2018,108530,108540,108530,108530
9/17/2018,108540,108540,108530,108530
9/17/2018,108530,108530,108520,108530
9/17/2018,108530,108590,108530,108590
9/17/2018,108570,108580,108550,108550
9/17/2018,108550,108550,108550,108550
9/17/2018,108540,108540,108480,108480
9/17/2018,108460,108460,108440,108440
9/17/2018,108440,108480,108440,108480
9/17/2018,108490,108490,108490,108490
9/17/2018,108490,108520,108490,108520
9/17/2018,108530,108550,108530,108530
9/17/2018,108530,108580,108530,108570
9/17/2018,108570,108570,108550,108560
9/17/2018,108550,108550,108550,108550
9/17/2018,108550,108550,108550,108550
9/17/2018,108540,108540,108510,108510
9/17/2018,108510,108520,108500,108500
9/17/2018,108540,108540,108540,108540
9/17/2018,108540,108580,108540,108580
9/17/2018,108580,108580,108580,108580
9/17/2018,108570,108570,108530,108530
9/17/2018,108540,108540,108540,108540
9/17/2018,108550,108550,108550,108550
9/17/2018,108570,108580,108570,108570
9/17/2018,108560,108570,108560,108570
9/17/2018,108580,108590,108580,108590
9/17/2018,108550,108550,108550,108550
9/17/2018,108550,108550,108530,108530
9/17/2018,108540,108540,108520,108520
9/17/2018,108540,108550,108540,108550
9/17/2018,108550,108580,108540,108540
9/17/2018,108560,108570,108530,108570
9/17/2018,108570,108570,108570,108570
9/17/2018,108570,108570,108570,108570
9/17/2018,108550,108550,108520,108520
9/17/2018,108550,108550,108550,108550
9/17/2018,108550,108550,108540,108540
